1.0	100819	85155	71930	58693	48570	40028	32008	25811	20196	15493	11955	8839	6643	4739	3318	
0.1	10406	8857	7482	6067	4912	4027	3093	2436	1860	1350	1034	733	555	358	248	
0.05	5106	4319	3707	3002	2445	2067	1538	1257	983	744	552	375	295	185	133	
0.02	1961	1683	1496	1200	998	833	612	494	422	295	253	158	141	79	55	
0.01	912	845	743	580	491	414	311	279	223	169	132	85	85	43	28	
0.005	442	399	396	284	239	204	167	152	97	85	65	55	53	16	16	
0.002	170	160	148	109	100	85	67	64	42	33	29	24	20	6	8	
0.001	91	71	66	58	52	43	37	35	21	16	14	11	9	3	3	
0.0005	44	31	29	27	28	23	22	16	11	9	10	8	4	2	1	
0.0002	19	14	9	10	10	8	9	8	2	4	6	3	3	0	0	
0.0001	9	6	5	7	3	3	5	2	1	3	4	2	0	0	0	
