1.0	100819	85154	71932	58693	48568	40028	32008	25811	20196	15494	11955	8839	6644	4739	3318	
0.1	10827	8941	7427	6067	4796	3928	3046	2299	1841	1378	1010	787	504	351	216	
0.05	5319	4464	3721	3023	2466	1949	1564	1154	913	694	495	395	262	175	114	
0.02	2027	1772	1442	1221	983	841	628	482	382	304	206	151	123	76	42	
0.01	998	846	731	593	518	428	299	259	185	158	121	75	70	40	19	
0.005	487	410	363	323	242	240	132	133	90	87	64	33	37	24	5	
0.002	212	164	149	120	94	87	52	59	29	32	30	15	16	4	2	
0.001	103	83	76	61	49	43	23	31	12	16	13	8	9	1	2	
0.0005	53	39	40	32	23	23	11	15	6	11	6	2	4	0	0	
0.0002	20	17	15	13	7	6	4	8	4	6	2	2	1	0	0	
0.0001	6	8	5	8	4	4	3	4	1	3	2	1	1	0	0	
