1.0	100819	85155	71931	58693	48569	40028	32007	25810	20196	15494	11955	8839	6644	4739	3318	
0.1	10070	8641	7314	5877	4949	4004	3151	2530	2017	1515	1158	821	646	422	302	
0.05	5038	4211	3607	2894	2437	2037	1600	1301	1042	788	587	417	322	238	189	
0.02	2026	1655	1424	1210	941	797	623	521	415	324	231	170	144	110	89	
0.01	982	816	716	557	479	408	319	263	225	166	114	88	96	59	52	
0.005	479	412	367	281	263	193	139	129	122	75	62	44	47	35	22	
0.002	204	154	151	104	102	73	62	52	49	31	23	16	20	12	12	
0.001	106	75	76	57	49	36	28	25	23	16	13	6	10	5	5	
0.0005	47	42	43	29	22	18	16	10	10	7	5	4	8	2	2	
0.0002	15	16	17	17	9	9	8	0	3	4	3	2	0	1	1	
0.0001	8	9	7	5	3	3	5	0	2	3	1	2	0	1	1	
