1.0	100819	85154	71931	58693	48570	40028	32008	25810	20196	15493	11955	8839	6644	4739	3318	
0.1	10111	8425	7186	5884	4946	3997	3220	2554	2012	1518	1204	874	673	492	321	
0.05	4914	4107	3595	3008	2504	2020	1659	1245	996	780	634	451	367	265	163	
0.02	1892	1578	1430	1190	1046	818	658	526	385	321	286	204	157	115	74	
0.01	912	768	701	602	522	404	349	279	198	183	140	109	81	60	32	
0.005	468	367	341	290	255	201	174	141	106	96	75	60	42	33	21	
0.002	178	136	137	105	102	70	74	65	50	39	31	42	15	10	11	
0.001	81	68	64	54	57	41	30	38	27	17	13	21	6	7	6	
0.0005	46	35	29	27	23	22	13	17	19	10	7	9	3	3	2	
0.0002	24	9	12	14	10	3	7	4	9	4	2	2	2	1	2	
0.0001	13	3	4	7	4	3	5	2	2	3	1	0	1	0	2	
