1.0	100819	85153	71932	58693	48570	40028	32007	25811	20195	15494	11955	8839	6644	4739	3318	
0.1	9884	8446	7132	5844	4995	4020	3221	2573	2033	1633	1222	900	672	514	328	
0.05	4917	4213	3537	2864	2442	1997	1651	1303	1063	834	626	464	357	269	171	
0.02	1921	1706	1382	1170	991	780	649	512	427	350	259	190	148	120	75	
0.01	921	850	684	579	508	399	343	268	215	173	132	99	72	63	34	
0.005	451	423	333	311	250	199	174	138	108	73	77	50	34	32	17	
0.002	185	171	132	119	99	78	66	48	40	32	32	25	16	12	10	
0.001	86	95	60	62	50	31	31	23	25	17	17	12	11	6	4	
0.0005	47	50	34	28	28	15	11	10	12	7	6	9	4	3	1	
0.0002	24	17	7	16	11	4	3	5	5	4	4	3	2	0	0	
0.0001	13	7	5	7	5	3	2	1	2	1	2	1	1	0	0	
