1.0	100819	85155	71931	58693	48570	40027	32008	25811	20195	15494	11955	8839	6644	4739	3318	
0.1	9941	8306	7300	5921	4895	4030	3305	2704	2013	1551	1186	837	613	504	312	
0.05	4802	4040	3708	2952	2415	2004	1692	1382	1072	809	606	454	327	270	175	
0.02	1910	1550	1456	1168	979	812	675	595	452	345	231	185	131	118	73	
0.01	933	736	721	577	481	402	375	303	238	166	125	94	79	70	40	
0.005	453	346	348	284	246	212	205	155	125	78	67	47	38	40	26	
0.002	156	127	132	137	109	90	92	53	50	39	20	17	13	15	15	
0.001	70	66	59	74	53	52	45	30	27	18	6	2	7	11	10	
0.0005	29	41	28	39	26	26	22	17	15	9	2	0	4	4	3	
0.0002	10	18	9	20	8	11	9	7	5	3	0	0	2	2	1	
0.0001	3	7	3	7	5	7	6	7	3	0	0	0	1	1	0	
