1.0	100817	85155	71932	58693	48569	40027	32007	25811	20196	15494	11955	8839	6644	4739	3318	
0.1	10374	8771	7506	5965	4885	3892	3169	2464	1903	1394	1076	771	565	398	285	
0.05	5104	4300	3727	2991	2447	1985	1622	1219	1021	709	533	389	293	215	153	
0.02	1999	1718	1480	1212	951	791	635	493	422	315	209	175	121	92	67	
0.01	978	849	710	638	466	391	337	249	208	174	102	85	66	52	35	
0.005	472	422	347	339	235	181	168	137	105	95	56	36	34	24	19	
0.002	192	159	133	124	96	81	65	54	46	42	21	13	18	11	10	
0.001	94	81	71	64	42	41	32	26	24	25	8	6	6	6	4	
0.0005	53	45	29	34	18	19	15	12	10	11	7	2	3	4	3	
0.0002	21	17	15	15	8	7	3	5	6	5	0	1	1	0	1	
0.0001	7	11	6	8	4	2	2	1	2	5	0	1	1	0	0	
