1.0	100818	85155	71932	58692	48570	40027	32008	25811	20196	15494	11955	8839	6644	4739	3318	
0.1	9839	8476	7077	5816	4862	4086	3306	2782	1992	1521	1268	885	652	501	355	
0.05	4842	4056	3396	2859	2444	2049	1711	1487	1064	805	680	475	354	291	195	
0.02	1821	1519	1287	1155	1012	810	735	662	449	345	312	204	142	128	99	
0.01	877	732	645	554	522	405	377	359	242	163	148	107	86	66	57	
0.005	413	350	298	274	248	223	219	204	126	76	84	50	44	32	29	
0.002	148	119	103	93	97	93	106	114	71	32	31	23	15	12	8	
0.001	59	52	45	51	47	52	53	74	41	13	15	9	7	7	5	
0.0005	30	24	19	17	22	24	33	43	25	7	6	4	5	5	1	
0.0002	11	11	8	5	6	10	14	19	10	2	2	3	0	3	1	
0.0001	3	4	5	2	2	3	10	9	7	2	1	0	0	1	1	
