1.0	100812	85131	71903	58640	48498	39926	31827	25600	20101	15471	11953	8839	6642	4739	3318	
0.1	9864	8472	7091	5859	4909	4035	3166	2618	2020	1565	1253	941	698	504	341	
0.05	4849	4188	3585	2889	2470	1988	1593	1363	1036	812	617	488	361	251	178	
0.02	1923	1656	1437	1141	987	809	616	574	430	306	237	196	153	108	92	
0.01	956	835	673	563	475	400	335	274	231	160	131	107	85	57	48	
0.005	469	438	335	274	250	200	165	134	104	86	72	48	46	25	19	
0.002	182	180	133	124	93	77	68	54	43	37	32	18	10	11	3	
0.001	93	91	68	53	45	38	36	27	28	15	16	9	5	5	1	
0.0005	50	41	37	22	28	17	16	10	15	7	12	5	2	2	1	
0.0002	20	15	17	12	13	6	8	1	6	0	5	2	0	0	0	
0.0001	8	7	7	7	7	4	4	1	2	0	3	0	0	0	0	
