1.0	100813	85133	71902	58640	48496	39924	31827	25600	20101	15472	11953	8839	6642	4739	3318	
0.1	10551	8994	7469	5949	4955	3835	3046	2409	1855	1383	1015	745	551	358	223	
0.05	5268	4469	3734	2944	2432	1977	1502	1196	933	716	507	390	292	187	121	
0.02	2061	1727	1466	1216	977	825	611	497	355	336	201	158	110	84	41	
0.01	982	833	729	630	504	432	294	269	189	165	115	80	52	41	15	
0.005	475	413	363	315	259	222	145	133	84	82	67	47	31	22	7	
0.002	195	175	132	107	112	93	56	47	41	31	30	20	14	11	1	
0.001	115	76	62	59	59	45	26	25	14	9	17	8	8	7	0	
0.0005	61	42	32	29	19	25	13	8	6	5	11	5	6	3	0	
0.0002	20	10	15	13	7	12	7	5	2	4	4	1	4	1	0	
0.0001	11	5	8	6	2	5	5	1	1	1	3	1	0	1	0	
