1.0	100813	85133	71903	58640	48498	39926	31827	25598	20101	15472	11953	8839	6641	4738	3318	
0.1	10279	8549	7287	5844	4886	3973	3135	2530	1928	1508	1199	837	613	486	284	
0.05	5040	4172	3621	2935	2473	2025	1561	1284	970	808	610	444	324	255	146	
0.02	1970	1631	1464	1183	1001	802	641	478	383	340	276	188	144	105	59	
0.01	992	802	704	600	486	382	343	240	212	162	148	94	76	53	36	
0.005	478	405	348	305	252	193	179	131	109	72	66	41	39	22	25	
0.002	180	160	164	131	94	62	75	53	37	30	31	16	16	6	10	
0.001	91	77	89	70	45	26	35	27	12	16	19	9	7	2	5	
0.0005	45	39	41	41	20	10	18	13	8	9	10	2	5	0	4	
0.0002	19	17	11	14	10	4	7	5	4	6	3	1	3	0	1	
0.0001	8	12	5	5	4	3	2	4	1	3	2	1	0	0	0	
