1.0	100813	85133	71902	58640	48498	39924	31827	25600	20101	15472	11953	8839	6642	4739	3318	
0.1	10034	8672	7287	5860	4912	4017	3175	2570	1954	1479	1129	831	635	461	322	
0.05	4966	4237	3588	2919	2458	2089	1602	1295	1030	732	569	411	349	258	165	
0.02	1946	1697	1430	1149	986	813	655	519	427	307	235	169	160	105	67	
0.01	949	860	702	571	491	395	309	279	225	158	132	83	93	55	28	
0.005	482	395	361	256	251	197	155	156	118	85	73	51	48	21	16	
0.002	200	173	131	94	107	72	45	66	42	37	35	24	21	10	8	
0.001	97	96	58	48	50	35	22	32	19	21	18	15	10	6	3	
0.0005	47	45	25	27	20	20	12	23	8	13	8	11	4	2	0	
0.0002	21	18	8	14	9	5	3	8	2	5	5	3	3	1	0	
0.0001	8	9	3	7	5	2	2	4	0	2	3	1	3	1	0	
