1.0	100812	85132	71903	58639	48498	39926	31827	25600	20101	15472	11953	8839	6642	4739	3318	
0.1	10009	8497	7277	6012	4877	3990	3150	2582	1939	1583	1131	872	597	505	317	
0.05	4940	4101	3656	3000	2403	1968	1652	1356	1007	853	574	422	305	268	163	
0.02	1999	1555	1460	1154	968	779	668	561	427	344	228	186	140	119	77	
0.01	948	772	721	567	471	415	358	286	215	183	117	95	76	59	47	
0.005	480	380	340	296	237	208	177	150	96	99	63	41	37	31	30	
0.002	188	155	123	121	96	77	78	64	46	41	24	15	13	10	14	
0.001	91	81	67	52	46	38	38	30	24	23	11	6	6	6	11	
0.0005	44	40	28	29	26	22	18	15	14	10	5	2	3	1	8	
0.0002	16	18	8	9	13	9	11	4	2	5	2	0	1	1	6	
0.0001	4	10	6	1	7	3	5	1	1	3	2	0	1	1	5	
