1.0	100813	85133	71902	58640	48497	39926	31827	25598	20101	15472	11953	8839	6642	4739	3318	
0.1	10416	8767	7445	6092	4850	4003	3022	2436	1901	1376	1046	755	603	360	266	
0.05	5150	4274	3716	3042	2478	2005	1512	1228	993	694	537	392	315	186	146	
0.02	1954	1645	1449	1222	1016	823	601	542	423	301	245	160	144	77	63	
0.01	921	803	717	605	527	412	311	283	220	165	132	85	83	34	32	
0.005	438	409	333	303	268	209	160	151	125	89	67	49	41	8	15	
0.002	161	131	125	139	101	95	73	68	54	35	20	26	24	5	8	
0.001	84	64	57	68	45	46	34	30	33	22	14	9	16	4	4	
0.0005	44	27	32	32	20	26	15	19	14	10	7	6	9	3	1	
0.0002	19	9	12	15	9	12	7	3	2	4	5	4	2	1	1	
0.0001	8	5	7	9	4	4	3	2	1	0	3	2	1	1	0	
