1.0	100812	85132	71903	58640	48497	39926	31827	25600	20101	15472	11952	8839	6642	4739	3318	
0.1	10180	8738	7396	5991	4785	4038	3144	2550	1849	1489	1123	789	586	406	274	
0.05	5097	4362	3680	2945	2354	1985	1566	1293	936	756	589	424	317	216	148	
0.02	2011	1748	1449	1170	981	775	636	511	398	299	230	177	135	89	56	
0.01	1022	842	690	592	515	379	348	240	205	142	121	99	71	42	22	
0.005	520	429	344	297	238	191	191	114	95	68	64	59	27	18	10	
0.002	220	177	153	110	90	65	68	47	43	32	23	17	7	7	6	
0.001	112	83	74	41	47	33	35	26	21	21	11	11	5	6	4	
0.0005	47	40	44	15	26	20	19	14	10	12	7	6	1	1	3	
0.0002	20	18	19	4	11	9	7	5	4	2	2	2	0	0	2	
0.0001	11	11	4	2	4	6	3	2	1	1	2	2	0	0	1	
