1.0	100813	85133	71902	58640	48498	39926	31827	25599	20100	15472	11953	8838	6642	4739	3318	
0.1	9957	8400	7107	5903	4914	4090	3208	2608	2042	1612	1135	896	666	479	320	
0.05	4890	4145	3505	2957	2466	2057	1626	1301	1044	825	591	474	349	261	177	
0.02	1938	1564	1372	1161	999	863	666	538	446	349	218	212	139	112	88	
0.01	935	771	651	580	514	448	347	274	218	190	121	104	70	63	44	
0.005	474	369	341	282	261	224	174	141	106	97	48	55	34	31	28	
0.002	205	148	130	110	102	84	75	50	52	35	16	23	13	9	13	
0.001	101	73	69	52	45	47	45	25	27	17	6	10	5	3	5	
0.0005	55	30	34	28	19	22	24	15	15	8	6	3	2	2	2	
0.0002	21	11	13	12	10	11	10	4	5	2	3	1	0	1	1	
0.0001	12	5	7	3	6	5	3	2	3	1	2	0	0	0	1	
